Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name
23 Aug 2024 - 23 Aug 2024;MY4NBVUL37-2024-0823;23 Aug 2024;Payment Fee;-0.53;0.0392;Released to My Balance;24 Aug 2024;;16 Aug 2024;DUMMY_LAZADA_1;439490885904198;CABLE_PLAS_WHITE_S;3603026259_MY-20328164554;0;NO;Confirmed;Cable Management Wire Storage Box Desk Organizer Power Socket Extension 电线收纳盒  Kotak Simpanan Wayar Plastic Container
23 Aug 2024 - 23 Aug 2024;MY4NBVUL37-2024-0823;23 Aug 2024;Item Price Credit;9.9;0;Released to My Balance;24 Aug 2024;;16 Aug 2024;DUMMY_LAZADA_1;439490885904198;CABLE_PLAS_WHITE_S;3603026259_MY-20328164554;0;NO;Confirmed;Cable Management Wire Storage Box Desk Organizer Power Socket Extension 电线收纳盒  Kotak Simpanan Wayar Plastic Container
23 Aug 2024 - 23 Aug 2024;MY4NBVUL37-2024-0823;23 Aug 2024;Commission;-0.75;0.0552;Released to My Balance;24 Aug 2024;;16 Aug 2024;DUMMY_LAZADA_1;439490885904198;CABLE_PLAS_WHITE_S;3603026259_MY-20328164554;0;NO;Confirmed;Cable Management Wire Storage Box Desk Organizer Power Socket Extension 电线收纳盒  Kotak Simpanan Wayar Plastic Container
23 Aug 2024 - 23 Aug 2024;MY4NBVUL37-2024-0823;23 Aug 2024;Shipping Fee Subsidy (By Seller);-1.06;0;Released to My Balance;24 Aug 2024;;16 Aug 2024;DUMMY_LAZADA_1;439490885904198;CABLE_PLAS_WHITE_S;3603026259_MY-20328164554;0;NO;Confirmed;Cable Management Wire Storage Box Desk Organizer Power Socket Extension 电线收纳盒  Kotak Simpanan Wayar Plastic Container
23 Aug 2024 - 23 Aug 2024;MY4NBVUL37-2024-0823;23 Aug 2024;LazCoins Discount Promotion Fee;-0.54;0.04;Released to My Balance;24 Aug 2024;https://pages.lazada.com.my/wow/gcp/route/lazada/my/upr_1000345_lazada/channel/my/upr-router/my?hybrid=1&data_prefetch=true&prefetch_replace=1&at_iframe=1&wh_pid=/lazada/channel/my/term-condition/ZW72xm8fGi;16 Aug 2024;DUMMY_LAZADA_1;439490885904198;CABLE_PLAS_WHITE_S;3603026259_MY-20328164554;0;NO;Confirmed;Cable Management Wire Storage Box Desk Organizer Power Socket Extension 电线收纳盒  Kotak Simpanan Wayar Plastic Container
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Payment Fee;-0.18;0.0136;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457307564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Item Price Credit;4.9;0;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457307564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Commission;-0.31;0.0232;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457307564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Free Shipping Max Fee;-0.11;0.008;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457307564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Payment Fee;-0.18;0.0136;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457407564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Item Price Credit;4.9;0;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457407564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Commission;-0.31;0.0232;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457407564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Free Shipping Max Fee;-0.11;0.008;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457407564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
20 Aug 2024 - 20 Aug 2024;MY4NBVUL37-2024-0820;20 Aug 2024;Payment Fee;-0.18;0.0136;Released to My Balance;21 Aug 2024;;14 Aug 2024;DUMMY_LAZADA_2;439230457507564;CABLE_CASE;3916359243_MY-22621668411;0;NO;Confirmed;Mini Cable organizer roll muji minimalist storage case desktop wired charger adapter usb neat cord compact extension
